;VarName;NAAllowed?;SpecificNeighborsReq?;RegExCheck;AllowedToAlreadyExist;NewValuesAllowed;SimilarityCheckBoundary;Type;HasToOccurAsPrimaryIDIN;ConstructedOnBasisOff;Type;CheckTheseSheetsForPrimaryIdOccurenceWhenReplaced;;;;;
ELLI;list_id;FALSE;;"^(((CH|NL|DE|IE|UK)_((NT|RE)|(NT|RE)-([A-Z]{2}))_((1|2)(0|8|9)([0-9]{2}))([a-z]{3}){0,1})__([a-z]|[A-Z]|-|){3,100}(\[(([0-9]{1,2}(-[0-9]{1,2}){0,1})(\|([0-9]{1,2}(-[0-9]{1,2}){0,1})){0,20})\]){0,1}__(([0-9]{2}){0,1}(jan|feb|mar|apr|may|jun|jul|aug|sep|oct|nov|dec){0,1}((1|2)(0|7|8|9)([0-9]{2})))(\[\[(rcen|lcen)\]\]){0,1}|(NA|NC))__([a-z]|[A-Z]|[0-9]|-|\||\+|;){2,200}$";TRUE;TRUE;1;text;;;prim;;;;;;
ELLI;elec_id;FALSE;;^((CH|NL|DE|IE|UK)_((NT|RE)|(NT|RE)-([A-Z]{2}))_((1|2)(0|8|9)([0-9]{2}))([a-z]{3}){0,1})__([a-z]|[A-Z]|-|){3,100}(\[(([0-9]{1,2}(-[0-9]{1,2}){0,1})(\|([0-9]{1,2}(-[0-9]{1,2}){0,1})){0,20})\]){0,1}__(([0-9]{2}){0,1}(jan|feb|mar|apr|may|jun|jul|aug|sep|oct|nov|dec){0,1}((1|2)(0|7|8|9)([0-9]{2})))(\[\[(rcen|lcen)\]\]){0,1}|(NA|NC)$;TRUE;TRUE;;text;ELEC;;;;;;;;
ELLI;list_name;TRUE;;"^([a-z]|[A-Z]|[0-9]|-|\||\+|;){2,200}$";TRUE;TRUE;;text;;;;;;;;;
ELLI;parliament_id;FALSE;;^((NL|CH|DE|IE|UK|NO|CA)_((NT|RE)|(NT|RE)-([A-Z]{2}))_((1|2)(0|7|8|9)([0-9]{2}))([a-z]{3}){0,1})$;TRUE;TRUE;;text;PARL;;;;;;;;
ELLI;party_id;FALSE;;"^((CH|NL|DE|IE|UK)_([A-Za-z0-9](([A-Za-z0-9])|(-[A-Za-z0-9])){0,11})_((IN|EU|NT|SR|(RE-[A-Z]{2})|SD|DI|SM|MU|([A-Z]{2}))));?$";TRUE;TRUE;;text;;;;;;;;;
ELLI;district_id;FALSE;;^((CH|NL|DE|IE|UK)_((NT|RE)|(NT|RE)-([A-Z]{2}))_((1|2)(0|8|9)([0-9]{2}))([a-z]{3}){0,1})__([a-z]|[A-Z]|-|){3,100}(\[(([0-9]{1,2}(-[0-9]{1,2}){0,1})(\|([0-9]{1,2}(-[0-9]{1,2}){0,1})){0,20})\]){0,1}$;TRUE;TRUE;;text;ELDI;;;;;;;;
ELLI;list_votes_total_source;TRUE;;^[0-9]{1,5}|(NA)|NC$;TRUE;TRUE;;text;;;;;;;;;
ELLI;list_number;TRUE;;"^(([0-9]{1,2})(;[0-9]{1,2}){0,20}|(NA)|NC)$";TRUE;TRUE;;text;;;;;;;;;
ELLI;list_length;TRUE;;^([0-9]{1,2}|([0-9]{1,5}[A-Z]{1})|(NA)|NC)$;TRUE;TRUE;;text;;;;;;;;;
ELLI;list_type;TRUE;;^(party|youth|party_female|other_female|party_male|other_male|multi_party|multi_other|other)$;TRUE;TRUE;;text;;;;;;;;;
